,Quantity/Item,Cost,URL (if there is)
,-10x Cherry MX Switches,$9.99,https://www.amazon.com/Outemu-Switches-20-Pack-Linear-Dustproof/dp/B07TKKSS55/ref=sr_1_13?sr=8-13
,-10x Blank DSA Keycaps,$7.50,https://www.amazon.com/X-keys-Keycap-Cherry-Compatible-Transparent/dp/B00FYO8EDC/ref=sr_1_1?sr=8-1
,,,
,-1x XIAO RP2040,N/A,
,,,
,-4x M3x12 Bolt,not ordering (already have),
,,,
,-10x 1N4148 Diodes,not ordering,
,-10x SK6812 Mini LED,$0.59,https://lcsc.com/product-detail/RGB-LEDs-Built-in-IC_OPSCO-Optoelectronics-SK6812MINI-E_C5149201.html?s_z=n_SK6812MINI
,-1x EC11 ALPS Rotary Encoder,$1.95,https://lcsc.com/product-detail/Rotary-Encoders_ALPSALPINE-EC11E18244AU_C202365.html?s_z=n_Rotary%2520Encoder%2520EC11%2520Alps
Shipping,,$3,
,-1x PCB,$5,
Shipping,,$16.55,
,-1kg filament from Amazon,not ordering,
,Total,$44.58,